--------- beginning of main
01-13 00:39:06.911  4423  4511 D SnpeWhyDistractionNativ: Frame number: 102, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0133523, 0.0, 0.0], modelConfidence = [0.4759397, 0.0, 0.0]
01-13 00:39:06.997  4423  4511 D SnpeWhyDistractionNativ: Frame number: 103, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.082  4423  4511 D SnpeWhyDistractionNativ: Frame number: 104, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.209  4423  4511 D SnpeWhyDistractionNativ: Frame number: 105, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0597297, 0.0, 0.0], modelConfidence = [0.42680633, 0.0, 0.0]
01-13 00:39:07.282  4423  4511 D SnpeWhyDistractionNativ: Frame number: 106, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.377  4423  4511 D SnpeWhyDistractionNativ: Frame number: 107, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.515  4423  4511 D SnpeWhyDistractionNativ: Frame number: 108, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0521202, 0.0, 0.0], modelConfidence = [0.46545467, 0.0, 0.0]
01-13 00:39:07.586  4423  4511 D SnpeWhyDistractionNativ: Frame number: 109, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.677  4423  4511 D SnpeWhyDistractionNativ: Frame number: 110, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.806  4423  4511 D SnpeWhyDistractionNativ: Frame number: 111, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.987716, 0.0, 0.0], modelConfidence = [0.56902707, 0.0, 0.0]
01-13 00:39:07.882  4423  4511 D SnpeWhyDistractionNativ: Frame number: 112, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:07.972  4423  4511 D SnpeWhyDistractionNativ: Frame number: 113, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.103  4423  4511 D SnpeWhyDistractionNativ: Frame number: 114, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0015423, 0.0, 0.0], modelConfidence = [0.45088392, 0.0, 0.0]
01-13 00:39:08.183  4423  4511 D SnpeWhyDistractionNativ: Frame number: 115, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.279  4423  4511 D SnpeWhyDistractionNativ: Frame number: 116, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.406  4423  4511 D SnpeWhyDistractionNativ: Frame number: 117, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0570235, 0.0, 0.0], modelConfidence = [0.4035601, 0.0, 0.0]
01-13 00:39:08.487  4423  4511 D SnpeWhyDistractionNativ: Frame number: 118, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.584  4423  4511 D SnpeWhyDistractionNativ: Frame number: 119, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.712  4423  4511 D SnpeWhyDistractionNativ: Frame number: 120, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0846921, 0.0, 0.0], modelConfidence = [0.40498233, 0.0, 0.0]
01-13 00:39:08.802  4423  4511 D SnpeWhyDistractionNativ: Frame number: 121, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:08.875  4423  4511 D SnpeWhyDistractionNativ: Frame number: 122, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:09.013  4423  4511 D SnpeWhyDistractionNativ: Frame number: 123, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0743401, 0.0, 0.0], modelConfidence = [0.41735125, 0.0, 0.0]
01-13 00:39:09.093  4423  4511 D SnpeWhyDistractionNativ: Frame number: 124, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:09.177  4423  4511 D SnpeWhyDistractionNativ: Frame number: 125, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:09.304  4423  4511 D SnpeWhyDistractionNativ: Frame number: 126, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0250486, 0.0, 0.0], modelConfidence = [0.52652407, 0.0, 0.0]
01-13 00:39:09.398  4423  4511 D SnpeWhyDistractionNativ: Frame number: 127, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:09.476  4423  4511 D SnpeWhyDistractionNativ: Frame number: 128, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:09.620  4423  4511 D SnpeWhyDistractionNativ: Frame number: 129, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0380938, 0.0, 0.0], modelConfidence = [0.4808062, 0.0, 0.0]
