--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:33.803  4704  4817 D SnpeWhyDistractionNativ: Frame number: 85, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.884  4704  4817 D SnpeWhyDistractionNativ: Frame number: 86, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.044  4704  4817 D SnpeWhyDistractionNativ: Frame number: 87, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.41690117, 0.0, 0.0], modelConfidence = [0.85476726, 0.0, 0.0]
01-13 00:40:34.119  4704  4817 D SnpeWhyDistractionNativ: Frame number: 88, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.215  4704  4817 D SnpeWhyDistractionNativ: Frame number: 89, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.320  4704  4817 D SnpeWhyDistractionNativ: Frame number: 90, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.70434076, 0.0, 0.0], modelConfidence = [0.5775723, 0.0, 0.0]
01-13 00:40:34.401  4704  4817 D SnpeWhyDistractionNativ: Frame number: 91, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.481  4704  4817 D SnpeWhyDistractionNativ: Frame number: 92, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.636  4704  4817 D SnpeWhyDistractionNativ: Frame number: 93, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.3824434, 0.0, 0.0], modelConfidence = [0.8739718, 0.0, 0.0]
01-13 00:40:34.708  4704  4817 D SnpeWhyDistractionNativ: Frame number: 94, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.812  4704  4817 D SnpeWhyDistractionNativ: Frame number: 95, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:34.922  4704  4817 D SnpeWhyDistractionNativ: Frame number: 96, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.632583, 0.0, 0.0], modelConfidence = [0.67799664, 0.0, 0.0]
01-13 00:40:35.013  4704  4817 D SnpeWhyDistractionNativ: Frame number: 97, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.082  4704  4817 D SnpeWhyDistractionNativ: Frame number: 98, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.225  4704  4817 D SnpeWhyDistractionNativ: Frame number: 99, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.64537245, 0.0, 0.0], modelConfidence = [0.6676306, 0.0, 0.0]
